,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
2423,1,1,1,1,0,0,1,1,1,1
2424,2,0,1,1,0,0,1,1,1,1
2425,2,1,1,0,0,0,0,1,1,1
2426,0,0,0,1,0,0,0,1,1,1
2428,1,0,0,1,1,0,1,1,1,1
2437,2,1,1,1,0,0,0,1,1,1
2440,0,0,1,0,0,0,1,1,1,1
2441,0,1,1,0,0,0,1,1,1,1
2447,1,0,1,0,0,0,1,1,1,1
2448,2,1,2,1,0,0,0,1,1,1
2458,2,0,1,1,0,0,0,1,1,1
2475,2,0,1,1,1,0,1,1,1,1
2479,3,1,0,1,0,0,1,1,1,1
2486,2,1,2,1,0,0,0,1,1,1
2503,2,1,2,1,0,0,1,1,1,0
2506,1,0,2,1,0,0,1,1,1,0
2507,2,1,1,1,1,0,1,1,1,0
2512,3,0,1,1,1,0,1,1,0,0
2515,2,0,1,1,1,0,1,1,1,1
2525,1,1,1,1,0,0,1,1,1,1
2536,1,1,0,1,1,0,1,0,1,1
2540,1,0,1,1,0,0,1,1,1,1
2554,2,1,1,1,0,0,1,1,1,1
2558,0,0,2,1,0,0,1,1,1,1
2560,2,1,2,1,0,0,1,1,1,0
2561,3,1,1,1,1,0,1,1,1,1
2569,3,0,1,1,1,0,1,1,0,0
2574,2,0,0,1,0,0,1,1,1,1
2577,2,0,1,1,1,0,1,1,0,0
2580,3,0,1,1,1,0,1,1,1,1
2583,1,0,2,1,0,0,0,1,1,1
2587,1,1,0,1,1,0,1,0,1,0
2597,2,0,2,1,1,0,1,1,0,0
2598,0,0,1,1,0,0,1,1,1,1
2599,0,1,1,1,1,0,1,1,1,1
2601,2,1,1,1,0,0,1,1,1,1
2608,2,0,2,1,1,0,1,1,1,1
2609,0,1,1,1,1,0,1,1,1,1
2617,2,1,1,1,1,0,1,1,1,0
2640,2,1,0,1,1,0,1,0,0,0
2646,2,0,1,1,1,0,1,1,1,1
2647,1,1,1,1,1,0,0,1,1,1
2654,2,0,1,1,1,0,1,1,1,1
2658,2,0,0,1,1,0,1,0,0,0
2669,1,1,2,1,1,0,1,1,1,0
2674,1,1,1,0,0,0,1,1,1,1
2676,2,1,0,1,1,0,1,1,1,1
2677,3,1,1,1,0,0,1,0,1,1
2684,2,1,2,1,1,0,1,1,0,0
2686,1,0,1,1,1,0,1,1,1,1
2696,2,0,2,0,0,0,1,1,1,1
2699,1,1,1,1,1,0,1,1,1,0
2714,2,1,2,1,0,0,1,0,0,0
2715,2,0,1,1,1,0,1,1,0,0
2726,2,0,1,1,1,0,1,1,1,1
2730,3,1,2,1,0,0,1,1,1,1
2732,1,1,2,1,0,0,1,1,1,1
2733,2,0,1,1,1,0,1,1,1,1
2740,3,0,0,1,1,0,1,1,1,1
2742,3,0,0,1,1,0,1,1,1,1
2748,2,0,1,1,0,0,1,1,1,1
2757,2,0,2,0,0,0,1,1,1,1
2758,2,1,2,0,0,0,1,1,1,1
2762,2,1,2,1,0,0,1,0,0,0
2764,1,1,1,1,0,0,1,1,1,1
2765,2,0,2,1,0,0,1,1,1,0
2772,2,0,1,1,0,0,1,1,1,0
2778,2,1,1,1,1,0,1,1,1,1
2789,2,1,1,1,0,0,1,1,0,0
2790,2,0,1,1,1,0,1,1,1,0
2791,2,1,1,0,0,0,1,1,1,0
2795,3,1,1,1,1,0,1,1,1,1
2798,2,0,1,1,0,0,1,1,1,1
2805,3,0,0,1,0,1,1,1,1,1
2808,3,1,0,1,1,0,1,1,1,1
2809,0,1,1,1,1,0,1,1,1,1
2810,0,0,1,1,0,0,0,1,1,1
2811,2,1,2,1,1,0,1,0,0,0
2815,2,1,2,1,1,0,1,0,1,0
2816,2,0,2,1,0,0,1,1,0,0
2817,2,1,1,1,0,0,1,1,0,0
2819,3,1,1,1,0,0,1,0,1,1
2821,1,0,1,1,1,0,1,1,1,1
2822,3,0,2,1,0,0,1,1,1,1
2823,2,0,2,1,1,0,1,1,1,0
2835,2,0,0,1,0,0,1,0,1,1
2840,3,0,0,1,1,0,0,1,1,1
2841,2,0,1,1,0,1,1,1,0,0
2852,1,0,1,1,1,0,1,1,1,1
2859,2,0,1,1,1,0,1,0,0,1
2874,3,0,0,1,1,0,1,1,1,1
2877,2,0,1,1,1,0,1,1,0,0
