,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
323,184,-1,0,0,6,-1,1,1,1,4,1,1,0,1,1,1,-1
324,97,-1,0,0,12,-1,0,0,1,3,1,1,0,1,-1,1,-1
325,117,50,1,0,14,-1,3,0,3,4,1,1,0,1,1,1,1
326,135,50,1,0,4,-1,0,0,3,4,1,1,0,1,1,-1,-1
327,135,50,1,0,4,-1,0,1,3,4,1,1,0,1,1,-1,-1
328,157,-1,0,0,4,-1,0,0,2,4,1,1,0,1,1,1,1
329,57,-1,1,0,-1,-1,0,1,3,-1,0,1,0,1,1,1,1
330,97,120,1,0,-1,-1,2,0,2,-1,1,0,0,0,-1,-1,-1
331,157,-1,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
332,57,-1,0,0,2,13,0,0,3,4,1,1,0,1,-1,1,-1
